Apis_Gene_ID,Apis_Genbank_ID,BEEBASE,OGS_v1_1,Bombus_Genbank_ID,Bombus_Gene_ID,Bombus_Description
LOC409401,XP_006570114.1,GB46492,GB11585,XP_003396380.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X2
LOC409401,XP_006570124.1,GB46492,GB11585,XP_012165399.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X9
LOC409401,XP_006570109.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570110.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570111.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570112.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570113.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570115.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570116.1,GB46492,NA,XP_012165393.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X4
LOC409401,XP_006570117.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570118.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570121.1,GB46492,NA,XP_012165396.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X6
LOC409401,XP_006570122.1,GB46492,NA,XP_012165397.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X7
LOC409401,XP_006570123.1,GB46492,NA,XP_012165398.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X8
LOC409401,XP_006570125.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570126.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570127.1,GB46492,NA,XP_012165400.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X10
LOC409401,XP_006570128.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570129.1,GB46492,NA,NA,NA,NA
LOC409401,XP_006570130.1,GB46492,NA,XP_012165402.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X12
LOC409401,XP_016773306.1,GB46492,NA,XP_012165391.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X1
LOC409401,XP_016773307.1,GB46492,NA,NA,NA,NA
LOC409401,XP_016773308.1,GB46492,NA,XP_012165395.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X5
LOC409401,XP_623116.3,GB46492,NA,XP_012165392.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X3
LOC409401,XP_623392.3,GB46492,NA,XP_012165401.1,LOC100651248,cyclic AMP-responsive element-binding protein 1 isoform X11
LOC409402,XP_016772895.1,GB53286,GB14006,XP_012175881.1,LOC100651871,LOW QUALITY PROTEIN: uncharacterized protein LOC100651871
LOC409402,XP_016772893.1,GB53286,NA,NA,NA,NA
LOC409403,XP_016769189.1,GB51654,GB17074,XP_003397472.1,LOC100646867,ubiquitin carboxyl-terminal hydrolase 30 homolog
LOC409403,XP_006569851.1,GB51654,NA,NA,NA,NA
LOC409403,XP_006569852.1,GB51654,NA,NA,NA,NA
LOC409404,XP_392919.3,GB49161,GB11277,XP_003394715.1,LOC100646897,uncharacterized protein LOC100646897 isoform X1
LOC409404,XP_003251152.1,GB49161,NA,XP_003394714.1,LOC100646897,uncharacterized protein LOC100646897 isoform X2
LOC409404,XP_006568025.1,GB49161,NA,NA,NA,NA
LOC409405,XP_392920.1,GB41669,GB15066,XP_003400947.1,LOC100647478,baculoviral IAP repeat-containing protein 5
LOC409406,XP_392921.1,GB49159,GB19311,XP_012176629.1,LOC100647093,probable nuclear transport factor 2 isoform X1
LOC409406,XP_003251153.1,GB49159,NA,XP_012176630.1,LOC100647093,probable nuclear transport factor 2 isoform X2
LOC409408,XP_392923.4,GB43707,GB16904,XP_012167856.1,LOC100647802,nuclear valosin-containing protein-like isoform X2
LOC409409,XP_016769647.1,GB53414,GB15002,XP_012167531.1,LOC100642408,serine/threonine-protein kinase ICK isoform X3
LOC409409,XP_006567468.1,GB53414,NA,NA,NA,NA
LOC409409,XP_006567469.1,GB53414,NA,NA,NA,NA
LOC409409,XP_006567470.1,GB53414,NA,NA,NA,NA
LOC409409,XP_016769644.1,GB53414,NA,NA,NA,NA
LOC409409,XP_016769646.1,GB53414,NA,NA,NA,NA
LOC409410,XP_006559219.1,GB46268,GB14907,XP_012166473.1,LOC100649628,plasminogen activator inhibitor 1 RNA-binding protein-like
LOC409410,XP_392925.3,GB46268,NA,NA,NA,NA
LOC409411,XP_392926.1,GB45543,GB10276,XP_003401946.1,LOC100651859,transmembrane protein 41B
LOC409411,XP_006557271.1,GB45543,NA,NA,NA,NA
LOC409414,XP_016767719.1,GB52316,GB16547,XP_012173534.1,LOC100645895,kinectin isoform X5
LOC409417,XP_392932.3,GB40711,GB15831,XP_003397460.1,LOC100645201,RING finger protein 10 isoform X1
LOC409418,NP_001153522.1,GB40866,GB14852,XP_003397462.1,LOC100645451,heat shock 70 kDa protein cognate 4
LOC409420,XP_623232.1,GB53381,GB14973,XP_003397507.1,LOC100651251,cytochrome c oxidase assembly protein COX11%2C mitochondrial
LOC409420,XP_006567403.1,GB53381,NA,NA,NA,NA
LOC409420,XP_006567404.1,GB53381,NA,NA,NA,NA
LOC409422,XP_016772686.1,NA,GB11811,XP_012168379.1,LOC100642611,uncharacterized protein LOC100642611 isoform X1
LOC409423,XP_392937.2,GB54377,GB18447,XP_003399712.1,LOC100644735,male-specific lethal 1 homolog
LOC409424,XP_006557780.1,GB54376,GB12782,NA,NA,NA
LOC409424,XP_006557783.1,GB54376,GB12782,NA,NA,NA
LOC409424,XP_006557778.1,GB54376,NA,NA,NA,NA
LOC409424,XP_006557779.1,GB54376,NA,NA,NA,NA
LOC409424,XP_006557781.1,GB54376,NA,NA,NA,NA
LOC409424,XP_006557782.1,GB54376,NA,NA,NA,NA
LOC409424,XP_006557784.1,GB54376,NA,NA,NA,NA
LOC409424,XP_006557785.1,GB54376,NA,NA,NA,NA
LOC409424,XP_006557786.1,GB54376,NA,NA,NA,NA
LOC409424,XP_006557787.1,GB54376,NA,NA,NA,NA
LOC409424,XP_006557790.1,GB54376,NA,NA,NA,NA
LOC409424,XP_006557791.1,GB54376,NA,NA,NA,NA
LOC409424,XP_016772539.1,GB54376,NA,XP_012170067.1,LOC100642581,solute carrier family 2%2C facilitated glucose transporter member 1-like
LOC409425,XP_016768077.1,GB52158,GB10917,XP_003402321.1,LOC100649278,hemocyte protein-glutamine gamma-glutamyltransferase-like
LOC409425,XP_016768075.1,GB52158,NA,NA,NA,NA
LOC409425,XP_016768076.1,GB52158,NA,NA,NA,NA
LOC409427,XP_003250169.1,GB48429,GB15352,XP_012167765.1,LOC100651608,peptidyl-prolyl cis-trans isomerase E isoform X2
LOC409427,XP_006562918.1,GB48429,GB13805,XP_012167766.1,LOC105666116,ancient ubiquitous protein 1-like
LOC409427,XP_016770024.1,GB48429,NA,NA,NA,NA
LOC409429,XP_016771852.1,GB43556,GB17805,XP_012171812.1,LOC100648226,meiosis arrest female protein 1 homolog
LOC409430,XP_392943.3,GB55444,GB18815,XP_003402681.1,LOC100645394,serine/threonine-protein phosphatase alpha-2 isoform
LOC409433,XP_392946.2,GB55984,GB16824,XP_003401628.1,LOC100651899,protein RCC2 homolog
LOC409435,XP_006563889.1,GB43906,GB14848,NA,NA,NA
LOC409435,XP_006563881.1,GB43906,NA,NA,NA,NA
LOC409435,XP_006563882.1,GB43906,NA,NA,NA,NA
LOC409435,XP_006563883.1,GB43906,NA,NA,NA,NA
LOC409435,XP_006563884.1,GB43906,NA,XP_012175037.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein isoform X1
LOC409435,XP_006563885.1,GB43906,NA,XP_012175039.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein isoform X3
LOC409435,XP_006563886.1,GB43906,NA,XP_012175041.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein isoform X5
LOC409435,XP_006563887.1,GB43906,NA,XP_012175043.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein isoform X7
LOC409435,XP_006563888.1,GB43906,NA,XP_012175042.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein isoform X6
LOC409435,XP_006563890.1,GB43906,NA,NA,NA,NA
LOC409435,XP_006563891.1,GB43906,NA,NA,NA,NA
LOC409435,XP_006563892.1,GB43906,NA,XP_012175050.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein LAP isoform X14
LOC409435,XP_006563893.1,GB43906,NA,NA,NA,NA
LOC409435,XP_006563894.1,GB43906,NA,XP_012175051.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein LAP isoform X15
LOC409435,XP_006563895.1,GB43906,NA,NA,NA,NA
LOC409435,XP_006563896.1,GB43906,NA,XP_012175053.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein LAP isoform X17
LOC409435,XP_006563897.1,GB43906,NA,XP_012175054.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein LAP isoform X18
LOC409435,XP_006563898.1,GB43906,NA,XP_012175055.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein LAP isoform X19
LOC409435,XP_006563899.1,GB43906,NA,NA,NA,NA
LOC409435,XP_006563901.1,GB43906,NA,NA,NA,NA
LOC409435,XP_392948.4,GB43906,NA,XP_012175040.1,LOC100645783,phosphatidylinositol-binding clathrin assembly protein isoform X4
LOC409438,XP_392951.3,GB47658,GB17037,XP_003396690.2,LOC100650157,LOW QUALITY PROTEIN: tumor susceptibility gene 101 protein
LOC409439,XP_006561263.2,GB52557,GB16602,XP_003399532.1,LOC100642413,protein transport protein Sec24C
LOC409440,XP_392953.3,GB49486,GB16944,XP_003401299.1,LOC100651300,UPF0668 protein C10orf76 homolog
LOC409440,XP_016772346.1,GB49486,NA,NA,NA,NA
LOC409441,XP_392954.1,GB42917,GB10523,XP_003402308.1,LOC100647756,transmembrane protein 53
LOC409442,XP_006572325.1,GB42918,GB16972,XP_012173884.1,LOC100647522,protein NipSnap
LOC409443,XP_006559774.1,GB46915,GB14073,NA,NA,NA
LOC409443,XP_392956.3,GB46915,GB10203,XP_012176396.1,LOC100643881,serine/threonine-protein phosphatase 2A activator-like
LOC409443,XP_006559773.1,GB46915,NA,NA,NA,NA
LOC409444,XP_006567781.1,GB44606,GB17288,XP_012173463.1,LOC100644108,AMP deaminase 2 isoform X7
LOC409444,XP_006567774.2,GB44606,NA,NA,NA,NA
LOC409444,XP_006567775.1,GB44606,NA,XP_003401966.1,LOC100644108,AMP deaminase 2 isoform X2
LOC409444,XP_006567776.1,GB44606,NA,NA,NA,NA
LOC409444,XP_006567777.1,GB44606,NA,NA,NA,NA
LOC409444,XP_006567778.1,GB44606,NA,NA,NA,NA
LOC409444,XP_006567779.1,GB44606,NA,NA,NA,NA
LOC409444,XP_006567780.1,GB44606,NA,NA,NA,NA
LOC409444,XP_016767688.1,GB44606,NA,XP_003401965.1,LOC100644108,AMP deaminase 2 isoform X4
LOC409444,XP_016767689.1,GB44606,NA,XP_012173460.1,LOC100644108,AMP deaminase 2 isoform X5
LOC409444,XP_016767690.1,GB44606,NA,NA,NA,NA
LOC409447,XP_006560011.1,GB54657,GB16633,XP_012172813.1,LOC100650016,DNA repair and recombination protein RAD54-like isoform X3
LOC409448,XP_016767995.1,GB52194,GB11375,XP_003403299.1,LOC100646889,collagen alpha-3(IX) chain-like isoform X1
LOC409450,XP_392962.1,GB45369,GB11076,XP_003394799.1,LOC100647255,guanine nucleotide-binding protein subunit beta-like protein isoform X1
LOC409451,XP_003250408.1,GB48574,GB15855,XP_012164907.1,LOC100643526,thioredoxin-2-like
LOC409452,XP_016768039.1,GB48557,GB30223,XP_012164621.1,LOC100647498,maltase A2-like isoform X2
LOC409452,XP_006564151.1,GB48557,NA,NA,NA,NA
LOC409452,XP_016768040.1,GB48557,NA,NA,NA,NA
LOC409454,XP_006563839.1,GB43848,GB18046,XP_003403096.1,LOC100650627,glucose-induced degradation protein 8 homolog
LOC409454,XP_006563840.1,GB43848,NA,NA,NA,NA
LOC409455,XP_006563842.1,GB43847,GB18260,XP_012175091.1,LOC100642233,doublesex- and mab-3-related transcription factor A2-like
LOC409456,XP_006564269.1,GB42021,GB13780,XP_012163924.1,LOC105665731,LOW QUALITY PROTEIN: AT-rich interactive domain-containing protein 4B
LOC409456,XP_016767650.1,GB42021,NA,NA,NA,NA
LOC409457,XP_392968.2,GB48693,GB17415,XP_012171991.1,LOC100651983,LOW QUALITY PROTEIN: translational activator GCN1
LOC409459,XP_016768218.1,GB46069,GB15408,XP_012164752.1,LOC100645793,LOW QUALITY PROTEIN: lon protease homolog%2C mitochondrial
LOC409459,XP_006562528.1,GB46069,NA,NA,NA,NA
LOC409460,XP_006569199.2,GB48782,GB20024,XP_012175405.1,LOC100645398,LOW QUALITY PROTEIN: bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase-like
LOC409462,XP_392973.4,GB54958,GB16146,XP_012166347.1,LOC100643147,cyclin-dependent kinase 10
LOC409463,XP_016768794.1,GB51422,GB17828,XP_012166538.1,LOC100642641,WD repeat-containing protein 63-like
LOC409465,XP_016769341.1,GB47140,GB15498,XP_012167204.1,LOC100646385,lipid storage droplets surface-binding protein 1 isoform X1
LOC409467,XP_392977.4,GB50864,GB13185,XP_003399925.1,LOC100651341,sodium-coupled monocarboxylate transporter 2-like
LOC409467,XP_006572211.1,GB50864,NA,NA,NA,NA
LOC409468,XP_016771626.1,GB40944,GB13576,NA,NA,NA
LOC409468,XP_006562827.1,GB40944,NA,NA,NA,NA
LOC409468,XP_006562828.1,GB40944,NA,NA,NA,NA
LOC409468,XP_006562829.1,GB40944,NA,NA,NA,NA
LOC409468,XP_006562830.1,GB40944,NA,NA,NA,NA
LOC409468,XP_006562831.1,GB40944,NA,NA,NA,NA
LOC409468,XP_006562832.1,GB40944,NA,NA,NA,NA
LOC409468,XP_006562833.1,GB40944,NA,XP_012174475.1,LOC100649950,A disintegrin and metalloproteinase with thrombospondin motifs 4
LOC409468,XP_016771585.1,GB40944,NA,NA,NA,NA
LOC409468,XP_016771610.1,GB40944,NA,NA,NA,NA
LOC409468,XP_016771619.1,GB40944,NA,NA,NA,NA
LOC409468,XP_016771623.1,GB40944,NA,NA,NA,NA
LOC409469,XP_016772392.1,GB51356,GB11973,XP_003399611.1,LOC100652170,cytochrome P450 4g15
LOC409469,NP_001035323.1,GB51356,NA,NA,NA,NA
LOC409469,XP_006559403.1,GB51356,NA,NA,NA,NA
LOC409469,XP_006559404.1,GB51356,NA,NA,NA,NA
LOC409470,XP_016770654.1,GB54040,GB18263,XP_012168866.1,LOC100650734,zinc finger protein 271-like isoform X3
LOC409470,XP_006562449.1,GB54040,NA,NA,NA,NA
LOC409470,XP_006562450.1,GB54040,NA,XP_012168864.1,LOC100650734,zinc finger protein 665-like isoform X1
LOC409470,XP_006562453.1,GB54040,NA,NA,NA,NA
LOC409470,XP_006562454.1,GB54040,NA,NA,NA,NA
LOC409470,XP_006562455.1,GB54040,NA,NA,NA,NA
LOC409470,XP_006562456.1,GB54040,NA,NA,NA,NA
LOC409470,XP_006562457.1,GB54040,NA,XP_012168868.1,LOC100650734,zinc finger protein 271-like isoform X5
LOC409470,XP_006562458.1,GB54040,NA,NA,NA,NA
LOC409470,XP_016770653.1,GB54040,NA,XP_012168865.1,LOC100650734,zinc finger protein 665-like isoform X2
LOC409470,XP_016770655.1,GB54040,NA,NA,NA,NA
LOC409472,XP_006562949.1,GB48452,GB17563,XP_012168180.1,LOC100647509,protein Smaug homolog 1 isoform X1
LOC409473,XP_392983.1,GB41139,GB13110,XP_012175017.1,LOC100645067,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
LOC409474,XP_016770520.1,GB46618,GB10534,XP_012166105.1,LOC100651805,laminin subunit gamma-1 isoform X1
LOC409475,XP_624301.1,GB45225,GB11587,XP_003398736.1,LOC100642815,LOW QUALITY PROTEIN: 26S proteasome non-ATPase regulatory subunit 2-like
LOC409476,XP_392985.3,GB44934,GB11434,XP_003398727.1,LOC100651691,nuclear cap-binding protein subunit 1
LOC409476,XP_006566661.1,GB44934,NA,NA,NA,NA
LOC409476,XP_006566662.1,GB44934,NA,NA,NA,NA
LOC409479,XP_006558672.1,GB47747,GB16628,XP_012169550.1,LOC105666285,60S ribosomal protein L6
LOC409481,XP_392990.2,GB46481,GB10675,XP_003396371.1,LOC100649927,ADP-ribosylation factor 1
LOC409481,XP_003251503.1,GB46481,NA,NA,NA,NA
LOC409483,XP_006565296.1,GB49315,GB10684,NA,NA,NA
LOC409483,XP_006565294.1,GB49315,NA,NA,NA,NA
LOC409483,XP_006565295.1,GB49315,NA,XP_012170493.1,LOC100651537,protein lin-54 homolog isoform X3
LOC409485,XP_392993.2,GB46217,GB16072,XP_012172693.1,LOC100651936,LOW QUALITY PROTEIN: cytoplasmic aconitate hydratase-like
LOC409486,XP_397567.2,GB47322,GB18076,XP_003402334.1,LOC100650942,spidroin-2 isoform X1
LOC409486,XP_006569727.1,GB47322,NA,NA,NA,NA
LOC409486,XP_006569728.1,GB47322,NA,NA,NA,NA
LOC409486,XP_006569729.1,GB47322,NA,XP_012173915.1,LOC100650942,spidroin-2 isoform X2
LOC409486,XP_006569730.1,GB47322,NA,XP_012173916.1,LOC100650942,spidroin-2 isoform X3
LOC409486,XP_006569731.1,GB47322,NA,XP_012173917.1,LOC100650942,spidroin-2 isoform X4
LOC409486,XP_006569732.1,GB47322,NA,XP_012173918.1,LOC100650942,RNA-binding protein 4.1 isoform X5
LOC409487,XP_392994.4,GB51264,GB19930,XP_012169854.1,LOC100642895,glutamine-dependent NAD(+) synthetase
LOC409487,XP_006559458.1,GB51264,NA,NA,NA,NA
LOC409488,XP_016767427.1,GB44080,GB10967,NA,NA,NA
LOC409488,XP_006567210.2,GB44080,NA,XP_003402474.1,LOC100649008,protein-L-isoaspartate(D-aspartate) O-methyltransferase-like isoform X2
LOC409488,XP_392995.3,GB44080,NA,XP_012174019.1,LOC100649008,protein-L-isoaspartate(D-aspartate) O-methyltransferase-like isoform X1
LOC409489,XP_392996.1,GB55891,GB11413,XP_003402527.1,LOC100645582,diphosphoinositol polyphosphate phosphohydrolase 1
LOC409490,XP_006563394.1,GB50265,GB18045,NA,NA,NA
LOC409490,NP_001171499.1,GB50265,NA,XP_012172050.1,LOC100646009,uncharacterized protein LOC100646009
LOC409491,XP_392998.5,GB45256,GB19381,XP_012169229.1,LOC100650819,transmembrane protein 183B isoform X1
LOC409491,XP_016770568.1,GB45256,NA,NA,NA,NA
LOC409492,XP_006572038.1,GB42110,GB15319,XP_003394116.1,LOC100651315,slowpoke-binding protein isoform X1
LOC409492,XP_006572039.1,GB42110,GB15319,XP_012175875.1,LOC100651315,slowpoke-binding protein isoform X2
LOC409492,XP_006572040.1,GB42110,NA,NA,NA,NA
LOC409492,XP_006572041.1,GB42110,NA,XP_012175876.1,LOC100651315,slowpoke-binding protein isoform X3
LOC409492,XP_006572043.1,GB42110,NA,NA,NA,NA
LOC409493,XP_393000.3,GB41179,GB17567,XP_012166416.1,LOC100650726,zinc finger protein 431-like
LOC409494,XP_393002.3,GB45303,GB18649,XP_003399167.1,LOC100646071,LOW QUALITY PROTEIN: methylglutaconyl-CoA hydratase%2C mitochondrial
LOC409495,XP_623287.2,GB49607,GB16169,XP_003399282.1,LOC100650854,lysosome-associated membrane glycoprotein 1
LOC409497,XP_393004.3,GB48349,GB18661,XP_012168211.1,LOC100650777,zinc finger CCCH domain-containing protein 18-like
LOC409497,XP_006562919.1,GB48349,NA,NA,NA,NA
LOC409497,XP_006562920.1,GB48349,NA,NA,NA,NA
LOC409497,XP_006562921.1,GB48349,NA,NA,NA,NA
LOC409498,XP_006559789.1,GB46877,GB12129,XP_012176407.1,LOC100645746,kinase suppressor of Ras 2
LOC409499,XP_393006.1,GB51079,GB11815,XP_012168245.1,LOC100644610,UDP-glucose 4-epimerase-like
LOC409499,XP_016769990.1,GB51079,NA,NA,NA,NA
LOC409500,XP_393007.1,GB45743,GB13078,XP_003395774.1,LOC100646379,mitochondrial import receptor subunit TOM22 homolog
LOC409500,XP_016767741.1,GB45743,NA,NA,NA,NA
LOC409501,XP_016772011.1,GB50017,GB17902,XP_012172171.1,LOC100647553,SWI/SNF complex subunit SMARCC2
LOC409501,XP_016772010.1,GB50017,NA,NA,NA,NA
LOC409502,XP_006563605.1,GB50214,GB11838,XP_012172169.1,LOC105666528,uncharacterized protein LOC105666528
LOC409504,XP_016768449.1,GB48113,GB13373,XP_012165527.1,LOC100647298,LOW QUALITY PROTEIN: serine/arginine repetitive matrix protein 2
LOC409505,XP_393012.2,GB54981,GB14933,XP_003392944.1,LOC100642911,cysteine-rich hydrophobic domain-containing protein 2
LOC409508,XP_016772339.1,GB46180,GB16499,XP_003401464.1,LOC100651266,S-adenosylmethionine mitochondrial carrier protein-like
LOC409508,XP_006558339.1,GB46180,NA,NA,NA,NA
LOC409508,XP_016772340.1,GB46180,NA,NA,NA,NA
LOC409510,XP_006567757.1,GB44596,GB13157,XP_012173451.1,LOC100642981,uncharacterized protein LOC100642981 isoform X1
LOC409510,XP_393017.3,GB44596,NA,XP_003401956.1,LOC100642981,uncharacterized protein LOC100642981 isoform X2
LOC409511,XP_393018.3,GB51722,GB13255,NA,NA,NA
LOC409511,XP_006569783.1,GB51722,NA,XP_012173345.1,LOC100643385,tetraspanin-1
LOC409512,XP_006564095.1,GB43504,GB17369,NA,NA,NA
LOC409512,XP_006564096.1,GB43504,NA,NA,NA,NA
LOC409512,XP_016770571.1,GB43504,NA,NA,NA,NA
LOC409512,XP_016770572.1,GB43504,NA,XP_003398836.1,LOC100645498,neural/ectodermal development factor IMP-L2 isoform X1
LOC409513,XP_393020.2,GB54673,GB16746,XP_003401526.1,LOC100648884,CD9 antigen-like isoform X1
LOC409513,XP_006560006.1,GB54673,NA,XP_012172785.1,LOC100648884,CD82 antigen-like isoform X2
LOC409513,XP_016772124.1,GB54673,NA,NA,NA,NA
LOC409514,XP_393021.4,GB51281,GB12831,XP_003399923.1,LOC100651095,uncharacterized protein LOC100651095
LOC409515,XP_393022.3,GB42732,GB16184,XP_012167118.1,LOC100648828,long-chain-fatty-acid--CoA ligase 4 isoform X1
LOC409515,XP_006561670.1,GB42732,NA,NA,NA,NA
LOC409515,XP_006561671.1,GB42732,NA,NA,NA,NA
LOC409515,XP_006561672.1,GB42732,NA,NA,NA,NA
LOC409515,XP_006561673.1,GB42732,NA,NA,NA,NA
LOC409515,XP_006561674.1,GB42732,NA,NA,NA,NA
LOC409517,XP_006562600.1,GB54861,GB18912,XP_012174457.1,LOC100648843,digestive cysteine proteinase 1
LOC409518,XP_016770585.1,GB47202,GB18937,XP_003402568.1,LOC100651229,uncharacterized protein LOC100651229
LOC409518,XP_016770584.1,GB47202,NA,NA,NA,NA
LOC409520,XP_393026.2,GB40805,GB12628,XP_012165007.1,LOC100651079,glucosamine-6-phosphate isomerase
LOC409520,XP_006563285.1,GB40805,NA,NA,NA,NA
LOC409520,XP_016768791.1,GB40805,NA,NA,NA,NA
LOC409521,XP_393027.2,GB40308,GB15809,XP_012170117.1,LOC100650822,hsp70-binding protein 1 isoform X1
LOC409522,XP_016770022.1,GB48434,GB16427,XP_003398465.1,LOC100649419,cell division cycle protein 27 homolog
LOC409523,XP_393029.2,GB51503,GB15499,XP_003394197.1,LOC100651240,mitogen-activated protein kinase 1
LOC409523,XP_016766921.1,GB51503,NA,NA,NA,NA
LOC409525,XP_006562562.1,GB52517,GB18628,XP_012168151.1,LOC100647189,oxysterol-binding protein-related protein 2
LOC409525,XP_006562563.1,GB52517,NA,NA,NA,NA
LOC409525,XP_016769947.1,GB52517,NA,NA,NA,NA
LOC409527,XP_393033.4,GB40802,GB10462,XP_012165013.1,LOC100651443,LOW QUALITY PROTEIN: TBC domain-containing protein kinase-like protein
LOC409527,XP_016771091.1,GB40802,NA,NA,NA,NA
LOC409527,XP_016771093.1,GB40802,NA,NA,NA,NA
LOC409528,XP_393034.1,GB45334,GB11643,XP_003402299.1,LOC100646610,60S ribosomal protein L7a
LOC409529,XP_393035.1,GB41970,GB17957,XP_003401807.1,LOC100644623,ras-like protein 2
LOC409529,XP_006568580.1,GB41970,NA,NA,NA,NA
LOC409530,XP_393036.3,GB46813,GB18825,XP_003398649.1,LOC100651651,unconventional myosin-If-like isoform X2
LOC409531,XP_393037.2,GB47310,GB14976,XP_003399016.1,LOC100647391,NECAP-like protein CG9132 isoform X1
LOC409531,XP_006564483.1,GB47310,NA,XP_012169189.1,LOC100647391,NECAP-like protein CG9132 isoform X2
LOC409532,XP_393038.3,GB54259,GB12793,XP_003398089.1,LOC100643290,NAD-dependent protein deacetylase sirtuin-2 isoform X2
LOC409532,XP_006564504.1,GB54259,NA,XP_012167783.1,LOC100643290,NAD-dependent protein deacetylase sirtuin-2 isoform X1
LOC409532,XP_006564505.1,GB54259,NA,NA,NA,NA
LOC409533,XP_006569793.1,GB51683,GB16448,XP_012176297.1,LOC100650720,annexin B9-like isoform X1
LOC409533,XP_006569794.1,GB51683,NA,XP_003394430.1,LOC100650720,annexin B9-like isoform X2
LOC409533,XP_623625.1,GB51683,NA,XP_012176295.1,LOC100650720,annexin B9-like isoform X3
LOC409534,XP_016770414.1,GB55151,GB13321,XP_012165151.1,LOC100642808,uncharacterized protein LOC100642808 isoform X1
LOC409534,XP_016770415.1,GB55151,NA,XP_012165152.1,LOC100642808,uncharacterized protein LOC100642808 isoform X2
LOC409536,XP_006570756.1,GB42356,GB13483,XP_012174705.1,LOC100644543,SURP and G-patch domain-containing protein 1
LOC409538,XP_393044.4,GB43824,GB18602,XP_003403070.1,LOC100647168,lysoplasmalogenase-like protein TMEM86A isoform X2
LOC409539,XP_393045.3,GB51380,GB16753,NA,NA,NA
LOC409540,XP_393046.2,GB48849,GB15922,XP_003399793.1,LOC100644818,LOW QUALITY PROTEIN: MOB kinase activator-like 1
LOC409540,XP_006568315.2,GB48849,NA,NA,NA,NA
LOC409543,XP_393050.2,GB49637,GB15853,XP_003395168.1,LOC100642876,importin subunit alpha-7
LOC409544,XP_393051.1,GB41781,GB19570,XP_003401722.1,LOC100643427,ruvB-like 1
LOC409546,XP_016772663.1,GB44739,GB14292,XP_012165276.1,LOC100642330,lachesin-like isoform X1
LOC409547,XP_006561137.1,GB40934,GB18245,XP_012163771.1,LOC100648434,LOW QUALITY PROTEIN: NSFL1 cofactor p47
LOC409548,XP_393055.4,GB54244,GB10005,XP_003398175.1,LOC100643814,drebrin-like protein isoform X1
LOC409549,XP_006564913.1,GB52753,GB12875,XP_003400622.1,LOC100647436,succinate dehydrogenase cytochrome b560 subunit%2C mitochondrial-like
LOC409550,XP_006563758.1,GB49943,GB13888,XP_003399433.1,LOC100650371,eukaryotic translation initiation factor 3 subunit D
LOC409552,XP_623303.1,GB51065,GB15443,XP_003398482.1,LOC100651253,40S ribosomal protein S10-like
LOC409552,XP_393059.1,GB51065,NA,NA,NA,NA
LOC409553,XP_393060.4,GB41904,GB15123,XP_012173132.1,LOC100647001,pancreatic triacylglycerol lipase-like isoform X1
LOC409554,XP_016772933.1,GB54700,GB16632,XP_012170396.1,LOC100645212,intersectin-1 isoform X8
LOC409555,NP_001014429.1,GB55213,GB11022,NA,NA,NA
LOC409556,XP_393064.4,GB52249,GB14422,XP_012175868.1,LOC100650717,LOW QUALITY PROTEIN: protein SMG7-like
LOC409556,XP_006571932.1,GB52249,NA,NA,NA,NA
LOC409556,XP_016772735.1,GB52249,NA,NA,NA,NA
LOC409557,XP_393065.4,GB54808,GB17844,XP_003401651.1,LOC100644702,protein maelstrom 3 isoform X1
LOC409557,XP_016769062.1,GB54808,NA,NA,NA,NA
LOC409558,XP_016768751.1,GB44281,GB13003,XP_012165707.1,LOC100646108,polyadenylate-binding protein 2-B
