Bter_protein_ID,Apis_gene_symbol,Apis_locus,Amel_v4_5,Apis_gene_ID,Apis_gene_description,BEEBASE,OGS_v1_1,Bter_gene_ID,Bter_gene_description,Bter_gene_symbol
XP_003397600.1,LOC102655639,LOC102655639,XP_016769517.1,102655639,PREDICTED: uncharacterized protein LOC102655639 isoform X1,NA,GB17315,XM_003397552.2,uncharacterized protein LOC100642524,LOC100642524
XP_003397601.1,LOC411343,LOC411343,XP_003249744.1,411343,PREDICTED: uncharacterized protein LOC411343,GB44831,GB11884,XM_003397553.2,uncharacterized protein LOC100642644,LOC100642644
XP_003397603.1,LOC409023,LOC409023,XP_392553.1,409023,PREDICTED: methylthioribose-1-phosphate isomerase isoform X1,GB44841,GB12470,XM_003397555.2,methylthioribose-1-phosphate isomerase isoform X1,LOC100643207
XP_003397605.1,LOC409024,LOC409024,XP_006560797.1,409024,PREDICTED: tropomodulin isoform X2,GB44842,GB15450,XM_003397557.2,tropomodulin isoform X1,LOC100643331
XP_003397607.1,LOC100577998,LOC100577998,XP_003249738.1,100577998,PREDICTED: origin recognition complex subunit 3,GB44850,GB11141,XM_003397559.2,origin recognition complex subunit 3,LOC100643655
XP_003397609.1,LOC551227,LOC551227,XP_625242.2,551227,PREDICTED: trans-Golgi network integral membrane protein 2-like isoform X1,GB41398,GB12325,XM_003397561.2,trans-Golgi network integral membrane protein TGN38-like isoform X1,LOC100643770
XP_003397611.1,LOC724477,LOC724477,XP_016769422.1,724477,PREDICTED: vitamin K-dependent protein C isoform X2,GB41410,GB13397,XM_003397563.2,vitamin K-dependent protein C-like,LOC100643975
XP_003397613.1,LOC107964950,LOC107964950,XP_016769412.1,107964950,PREDICTED: splicing factor 3B subunit 6-like protein,NA,GB11071,XM_003397565.2,splicing factor 3B subunit 6-like protein,LOC100644298
XP_003397616.1,LOC411358,LOC411358,XP_394832.1,411358,PREDICTED: trypsin-1,GB41399,GB12300,XM_003397568.2,trypsin-1-like,LOC100644644
XP_003397617.1,LOC413274,LOC413274,XP_006558418.2,413274,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC413274,GB41406,GB10150,XM_003397569.2,soluble guanylate cyclase 89Da-like,LOC100644766
XP_003397618.1,LOC411345,LOC411345,XP_006559966.1,411345,PREDICTED: neurotrimin isoform X2,GB54005,GB13720,XM_003397570.2,neurotrimin isoform X2,LOC100644893
XP_003397620.1,LOC725264,LOC725264,XP_001121136.2,725264,PREDICTED: uncharacterized protein LOC725264 isoform X2,GB54016,GB15181,XM_003397572.2,uncharacterized protein LOC100645202,LOC100645202
XP_003397625.1,LOC725024,LOC725024,XP_016769504.1,725024,PREDICTED: autophagy-related protein 16-1 isoform X2,GB43755,GB16222,XM_003397577.2,autophagy-related protein 16-1,LOC100645758
XP_003397626.1,LOC413256,LOC413256,XP_396702.1,413256,PREDICTED: uncharacterized protein LOC413256,GB43751,GB10091,XM_003397578.2,uncharacterized protein LOC100645878,LOC100645878
XP_003397627.1,LOC724936,LOC724936,XP_016769625.1,724936,PREDICTED: uncharacterized protein LOC724936 isoform X1,GB43761,GB14327,XM_003397579.2,uncharacterized protein LOC100645994 isoform X2,LOC100645994
XP_003397628.1,LOC411936,LOC411936,XP_395405.1,411936,PREDICTED: prefoldin subunit 5,GB43750,GB14121,XM_003397580.2,prefoldin subunit 5,LOC100646113
XP_003397629.1,LOC412011,LOC412011,XP_006558421.1,412011,PREDICTED: probable muscarinic acetylcholine receptor gar-2,GB41397,GB14509,XM_003397581.2,probable muscarinic acetylcholine receptor gar-1,LOC100646264
XP_003397635.2,LOC724610,LOC724610,XP_006570052.2,724610,PREDICTED: LOW QUALITY PROTEIN: notchless protein homolog 1,GB42973,GB10500,XM_003397587.2,LOW QUALITY PROTEIN: notchless protein homolog 1,LOC100647105
XP_003397636.1,LOC726463,LOC726463,XP_001122195.1,726463,PREDICTED: inositol monophosphatase 2-like,GB55706,NA,XM_003397588.2,inositol monophosphatase 2-like,LOC100647224
XP_003397638.1,LOC551660,LOC551660,XP_624052.1,551660,PREDICTED: NADH dehydrogenase,GB55708,GB18217,XM_003397590.2,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",LOC100647466
XP_003397642.1,LOC100578289,LOC100578289,XP_003251679.1,100578289,PREDICTED: oocyte zinc finger protein XlCOF6-like,GB55712,GB10678,XM_003397594.2,GDNF-inducible zinc finger protein 1-like isoform X2,LOC100647932
XP_003397643.1,LOC726133,LOC726133,XP_001121896.2,726133,PREDICTED: exportin-6,GB55700,GB10195,XM_003397595.2,LOW QUALITY PROTEIN: exportin-6-B,LOC100648058
XP_003397645.1,LOC408869,LOC408869,XP_392399.3,408869,PREDICTED: lissencephaly-1 homolog,GB55703,GB13104,XM_003397597.2,lissencephaly-1 homolog,LOC100648285
XP_003397648.1,LOC409986,LOC409986,XP_016768321.1,409986,PREDICTED: peroxisomal multifunctional enzyme type 2-like,GB55693,GB18162,XM_003397600.2,LOW QUALITY PROTEIN: peroxisomal multifunctional enzyme type 2-like,LOC100648641
XP_003397650.1,LOC552362,LOC552362,XP_016768322.1,552362,PREDICTED: protein lin-7 homolog C,GB55692,GB10631,XM_003397602.2,protein lin-7 homolog C,LOC100648754
XP_003397651.1,LOC725965,LOC725965,XP_001121751.1,725965,PREDICTED: B-cell lymphoma 6 protein homolog,GB55724,NA,XM_003397603.1,zinc finger protein 286A-like,LOC100649064
XP_003397652.1,LOC409358,LOC409358,XP_392873.4,409358,PREDICTED: intraflagellar transport protein 74 homolog,GB45382,GB17359,XM_003397604.2,intraflagellar transport protein 74 homolog isoform X1,LOC100649180
XP_003397657.1,LOC727310,LOC727310,XP_001123019.2,727310,PREDICTED: putative sodium-coupled neutral amino acid transporter 7,GB45381,GB19602,XM_003397609.2,putative sodium-coupled neutral amino acid transporter 7,LOC100649630
XP_003397661.1,LOC409016,LOC409016,XP_392545.3,409016,PREDICTED: uncharacterized protein LOC409016,NA,GB12822,XM_003397613.2,uncharacterized protein LOC100650084,LOC100650084
XP_003397663.1,LOC551552,LOC551552,XP_006570935.2,551552,PREDICTED: xaa-Pro dipeptidase isoform X1,GB45391,GB12396,XM_003397615.2,xaa-Pro dipeptidase,LOC100650327
XP_003397666.1,LOC413782,LOC413782,XP_006570936.1,413782,PREDICTED: cartilage oligomeric matrix protein isoform X2,GB45378,GB13833,XM_003397618.2,cartilage oligomeric matrix protein,LOC100650650
XP_003397668.1,LOC410066,GlnS,XP_016767976.1,410066,PREDICTED: glutamine synthetase isoform X1,GB45377,NA,XM_003397620.2,glutamine synthetase 2 cytoplasmic isoform X1,LOC100650889
XP_003397670.1,LOC551817,LOC551817,XP_624205.1,551817,PREDICTED: putative peptidyl-prolyl cis-trans isomerase dodo,GB45376,GB11128,XM_003397622.2,putative peptidyl-prolyl cis-trans isomerase dodo,LOC100651164
XP_003397675.1,LOC552272,LOC552272,XP_624651.2,552272,PREDICTED: 40S ribosomal protein S23,GB45374,GB18191,XM_003397627.2,40S ribosomal protein S23,LOC100651763
XP_003397676.1,LOC409271,LOC409271,XP_006570939.1,409271,PREDICTED: mediator of RNA polymerase II transcription subunit 12 isoform X4,GB45373,GB10810,XM_003397628.2,LOW QUALITY PROTEIN: mediator of RNA polymerase II transcription subunit 12-like,LOC100651885
XP_003397678.1,LOC726754,LOC726754,XP_001122474.2,726754,PREDICTED: kynurenine formamidase isoform X1,GB45372,GB11608,XM_003397630.2,kynurenine formamidase isoform X1,LOC100652125
XP_003397680.1,LOC552285,LOC552285,XP_016768262.1,552285,PREDICTED: innexin inx7 isoform X1,GB45400,GB10774,XM_003397632.2,innexin inx7,LOC100642288
XP_003397681.1,LOC413917,LOC413917,XP_006561828.2,413917,"PREDICTED: alpha-1,2-mannosyltransferase ALG9",GB42855,GB11455,XM_003397633.2,"alpha-1,2-mannosyltransferase ALG9 isoform X1",LOC100642493
XP_003397683.1,LOC725480,LOC725480,XP_001121323.1,725480,PREDICTED: innexin inx1,GB45403,NA,XM_003397635.2,innexin inx1,LOC100642730
XP_003397684.1,LOC726239,LOC726239,NP_001229369.1,726239,Werner Syndrome-like exonuclease,GB17746,GB19261,XM_003397636.2,Werner Syndrome-like exonuclease isoform X3,LOC100642849
XP_003397684.1,LOC726239,LOC726239,NP_001229369.1,726239,Werner Syndrome-like exonuclease,GB17746,GB17746,XM_003397636.2,Werner Syndrome-like exonuclease isoform X3,LOC100642849
XP_003397687.1,LOC413692,LOC413692,XP_016772843.1,413692,PREDICTED: protein fem-1 homolog B,GB52576,GB13946,XM_003397639.2,protein fem-1 homolog B,LOC100643164
XP_003397688.1,LOC552027,LOC552027,XP_624411.2,552027,"PREDICTED: heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog isoform X2",GB41392,GB11598,XM_003397640.2,"heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog isoform X2",LOC100643287
XP_003397690.1,LOC102656448,LOC102656448,XP_006558427.1,102656448,PREDICTED: glycerol-3-phosphate dehydrogenase,NA,GB20014,XM_003397642.2,"glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like isoform X2",LOC100643615
XP_003397695.1,LOC551975,Tpx-4,NP_001164444.1,551975,peroxiredoxin-like protein,GB41413,GB10498,XM_003397647.2,peroxiredoxin-6-like,LOC100644139
XP_003397697.1,LOC726662,LOC726662,XP_016769521.1,726662,PREDICTED: complex III assembly factor LYRM7 isoform X1,GB41412,GB10780,XM_003397649.2,complex III assembly factor LYRM7 isoform X1,LOC100644261
XP_003397698.1,LOC727630,LOC727630,XP_016769523.1,727630,PREDICTED: V-type proton ATPase 116 kDa subunit a,GB41386,NA,XM_003397650.2,V-type proton ATPase 116 kDa subunit a isoform 1 isoform X2,LOC100644609
XP_003397701.1,LOC724177,LOC724177,XP_016769426.1,724177,PREDICTED: uncharacterized protein LOC724177 isoform X5,GB47136,GB16541,XM_003397653.2,uncharacterized protein LOC100645011 isoform X3,LOC100645011
XP_003397702.1,LOC726515,LOC726515,XP_001122247.4,726515,PREDICTED: uncharacterized protein C11orf70 homolog isoform X1,NA,GB19146,XM_003397654.2,uncharacterized protein C11orf70 homolog isoform X1,LOC100645252
XP_003397703.1,LOC413573,LOC413573,XP_397014.4,413573,PREDICTED: set1/Ash2 histone methyltransferase complex subunit ASH2 isoform X1,GB47151,GB15983,XM_003397655.2,set1/Ash2 histone methyltransferase complex subunit ASH2,LOC100645379
XP_003397704.1,LOC551959,LOC551959,XP_624344.3,551959,PREDICTED: DNA-binding transcriptional regulator BolA,GB47137,GB17438,XM_003397656.2,bolA-like protein DDB_G0274169,LOC100645495
XP_003397705.1,LOC552326,LOC552326,XP_624704.1,552326,PREDICTED: uncharacterized protein LOC552326,GB47148,GB15235,XM_003397657.2,uncharacterized protein LOC100645600,LOC100645600
XP_003397706.1,LOC100576170,LOC100576170,XP_003251865.1,100576170,PREDICTED: mucin-1-like,GB52571,GB30407,XM_003397658.1,sialidase-like,LOC100645799
XP_003397707.1,LOC725720,LOC725720,XP_006562018.1,725720,"PREDICTED: muscle, skeletal receptor tyrosine protein kinase-like isoform X2",GB53257,GB14486,XM_003397659.2,"muscle, skeletal receptor tyrosine protein kinase-like isoform X2",LOC100645995
XP_003397711.1,LOC107964997,LOC107964997,XP_016769593.1,107964997,PREDICTED: uncharacterized protein LOC107964997,NA,GB16973,XM_003397663.1,uncharacterized protein LOC100646471,LOC100646471
XP_003397714.1,LOC725745,LOC725745,XP_001121554.2,725745,PREDICTED: GPN-loop GTPase 1,GB53177,GB15026,XM_003397666.2,GPN-loop GTPase 1,LOC100646831
XP_003397717.1,LOC411923,LOC411923,XP_395392.3,411923,"PREDICTED: alanine--tRNA ligase, cytoplasmic isoform X1",GB42773,GB11830,XM_003397669.2,"alanine--tRNA ligase, cytoplasmic isoform X2",LOC100647150
XP_003397719.1,LOC102655945,LOC102655945,XP_006561659.1,102655945,PREDICTED: myb/SANT-like DNA-binding domain-containing protein 3,NA,GB17091,XM_003397671.2,uncharacterized protein LOC100647384,LOC100647384
XP_003397721.1,LOC552414,LOC552414,XP_006561648.1,552414,PREDICTED: protein disabled isoform X1,GB42757,GB15573,XM_003397673.2,protein disabled,LOC100647625
XP_003397729.1,LOC100576864,LOC100576864,XP_006559976.1,100576864,PREDICTED: myosin-2 heavy chain isoform X1,GB54019,GB18487,XM_003397681.2,microtubule organizer protein 1-like isoform X1,LOC100648680
XP_003397736.1,LOC552648,LOC552648,XP_006562002.1,552648,PREDICTED: GPN-loop GTPase 3,GB53185,GB17623,XM_003397688.2,GPN-loop GTPase 3,LOC100649385
XP_003397740.1,LOC100576220,LOC100576220,XP_003249297.1,100576220,PREDICTED: homeobox protein rough-like isoform X1,GB41411,GB20009,XM_003397692.1,homeobox protein rough,LOC100649933
XP_003397742.1,LOC726367,LOC726367,XP_001122110.2,726367,PREDICTED: glycerate kinase-like,GB52569,GB11540,XM_003397694.1,glycerate kinase-like,LOC100650160
XP_003397743.1,LOC725418,LOC725418,XP_001121269.2,725418,PREDICTED: replication protein A 32 kDa subunit,GB53184,GB13976,XM_003397695.2,replication protein A 32 kDa subunit-like,LOC100650287
XP_003397747.1,LOC552628,LOC552628,XP_625005.1,552628,"PREDICTED: 39S ribosomal protein L18, mitochondrial",GB53186,GB10961,XM_003397699.2,"39S ribosomal protein L18, mitochondrial",LOC100650775
XP_003397752.1,LOC552529,LOC552529,XP_624908.3,552529,PREDICTED: U6 snRNA-associated Sm-like protein LSm4,GB42778,GB12398,XM_003397704.2,U6 snRNA-associated Sm-like protein LSm4,LOC100651490
XP_003397758.1,LOC412155,LOC412155,XP_395619.4,412155,PREDICTED: F-box/WD repeat-containing protein 5,GB42771,GB17483,XM_003397710.2,F-box/WD repeat-containing protein 5,LOC100652284
XP_003397761.2,LOC726137,LOC726137,XP_006561676.1,726137,PREDICTED: male-specific lethal 3 homolog isoform X2,GB42770,GB19559,XM_003397713.2,male-specific lethal 3 homolog isoform X2,LOC100642372
XP_003397762.1,LOC552217,LOC552217,XP_016769440.1,552217,PREDICTED: uncharacterized protein LOC552217 isoform X2,GB42769,GB10209,XM_003397714.2,uncharacterized protein LOC100642572,LOC100642572
XP_003397763.1,LOC726213,LOC726213,XP_001121969.1,726213,PREDICTED: glycosylated lysosomal membrane protein-like,GB42726,GB11270,XM_003397715.2,glycosylated lysosomal membrane protein-like isoform X1,LOC100642810
XP_003397766.1,LOC409000,LOC409000,XP_392530.3,409000,PREDICTED: cell adhesion molecule 2-like isoform X1,GB42584,GB14615,XM_003397718.2,cell adhesion molecule 2-like isoform X1,LOC100643165
XP_003397768.1,LOC725710,LOC725710,XP_006561935.1,725710,"PREDICTED: D-beta-hydroxybutyrate dehydrogenase, mitochondrial",GB42580,GB30420,XM_003397720.2,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",LOC100643411
XP_003397771.1,LOC411327,LOC411327,XP_394802.1,411327,PREDICTED: G1/S-specific cyclin-E1,GB42872,GB10065,XM_003397723.2,G1/S-specific cyclin-E1,LOC100643771
XP_003397772.1,LOC726031,LOC726031,NP_001167610.1,726031,uncharacterized protein LOC726031 precursor,GB42912,GB10653,XM_003397724.1,early nodulin-75-like,LOC100643896
XP_003397773.1,LOC408996,LOC408996,XP_016769634.1,408996,"PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase",GB42579,GB14619,XM_003397725.2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase-like",LOC100644023
XP_003397775.1,LOC726106,LOC726106,XP_001121872.2,726106,PREDICTED: neural cell adhesion molecule 2-like isoform X2,GB42576,GB15650,XM_003397727.2,neural cell adhesion molecule 2-like,LOC100644332
XP_003397777.1,LOC726950,LOC726950,XP_006561881.1,726950,PREDICTED: pupal cuticle protein 20 isoform X2,GB42612,GB10683,XM_003397729.2,pupal cuticle protein 20-like,LOC100644565
XP_003397783.1,LOC100578664,LOC100578664,XP_016769513.1,100578664,PREDICTED: organic solute transporter alpha-like protein,GB42594,GB16809,XM_003397735.1,organic solute transporter alpha-like protein,LOC100645290
XP_003397784.2,LOC411316,LOC411316,XP_006561916.1,411316,PREDICTED: kinesin-like protein KIF6 isoform X1,GB42593,GB11772,XM_003397736.2,kinesin-like protein KIF6,LOC100645412
XP_003397788.2,LOC725335,LOC725335,XP_001121195.3,725335,"PREDICTED: probable cytochrome P450 12a5, mitochondrial isoform X1",GB42898,GB12608,XM_003397740.2,"LOW QUALITY PROTEIN: probable cytochrome P450 12a5, mitochondrial",LOC100645879
XP_003397791.1,LOC725557,LOC725557,XP_006561931.1,725557,PREDICTED: cuticle protein 7 isoform X4,GB42585,GB16121,XM_003397743.2,cuticle protein 7-like,LOC100646231
XP_003397792.1,LOC100579047,LOC100579047,XP_003249950.2,100579047,PREDICTED: adult-specific cuticular protein ACP-22,GB42582,GB12524,XM_003397744.2,uncharacterized protein LOC100646349,LOC100646349
XP_003397793.1,LOC100576090,CPR11,NP_001257752.1,100576090,cuticular protein 11 precursor,GB42581,GB30419,XM_003397745.1,adult-specific cuticular protein ACP-22-like,LOC100646472
XP_003397796.2,LOC102654158,LOC102654158,XP_006561944.1,102654158,PREDICTED: protein doublesex-like,NA,GB13274,XM_003397748.2,"keratin, type I cytoskeletal 9-like",LOC100646952
XP_003397798.1,LOC102654246,LOC102654246,XP_006561945.1,102654246,PREDICTED: MAGE-like protein 2,NA,NA,XM_003397750.1,proline-rich protein 4-like,LOC100647188
XP_003397803.2,LOC107964944,LOC107964944,XP_016769384.1,107964944,PREDICTED: uncharacterized protein LOC107964944,NA,GB16013,XM_003397755.2,mucin-3B-like,LOC100647739
XP_003397804.1,LOC107965854,LOC107965854,XP_016773079.1,107965854,PREDICTED: uncharacterized protein LOC107965854,NA,GB18908,XM_003397756.2,uncharacterized protein LOC100647978 isoform X1,LOC100647978
XP_003397805.1,LOC726850,LOC726850,XP_006561882.1,726850,PREDICTED: cytochrome b5-like,GB42607,GB12288,XM_003397757.2,cytochrome b5-like,LOC100648100
XP_003397806.1,LOC726860,LOC726860,XP_003249940.1,726860,PREDICTED: cytochrome b5-like,NA,GB14813,XM_003397758.2,cytochrome b5-like,LOC100648214
XP_003397810.1,LOC409006,LOC409006,XP_392535.3,409006,PREDICTED: arrestin red cell isoform X2,GB42604,GB13683,XM_003397762.2,beta-arrestin-1 isoform X2,LOC100648521
XP_003397812.1,LOC409004,LOC409004,XP_392533.1,409004,PREDICTED: ras-related protein Rab6 isoform X2,GB42881,GB11363,XM_003397764.2,ras-related protein Rab6 isoform X2,LOC100648829
XP_003397813.1,LOC409004,LOC409004,XP_006561897.1,409004,PREDICTED: ras-related protein Rab6 isoform X1,GB42881,GB11363,XM_003397765.2,ras-related protein Rab6 isoform X1,LOC100648829
XP_003397814.1,LOC409003,NLG-3,NP_001139208.1,409003,neuroligin 3 precursor,GB42603,GB18290,XM_003397766.2,"neuroligin-4, X-linked isoform X2",LOC100649027
XP_003397815.1,LOC726818,LOC726818,XP_006561863.1,726818,PREDICTED: beta-hexosaminidase subunit beta-like isoform X1,GB42616,NA,XM_003397767.2,beta-hexosaminidase subunit beta-like,LOC100649144
XP_003397816.1,LOC411321,NLG-4,XP_006561618.1,411321,PREDICTED: neuroligin 4 isoform X1,GB42885,GB18836,XM_003397768.2,"neuroligin-4, X-linked isoform X1",LOC100649264
XP_003397817.1,LOC724664,LOC724664,XP_001120555.2,724664,PREDICTED: A-agglutinin anchorage subunit-like isoform X2,GB42599,GB18013,XM_003397769.2,proline-rich protein 36-like,LOC100649386
XP_003397819.1,LOC411320,LOC411320,XP_394795.1,411320,PREDICTED: serine/threonine/tyrosine-interacting protein-like isoform X1,GB42600,GB12357,XM_003397771.2,serine/threonine/tyrosine-interacting protein-like,LOC100649631
XP_003397822.1,LOC551922,LOC551922,XP_624310.2,551922,PREDICTED: protein NPC2 homolog,GB42887,GB19735,XM_003397774.2,protein NPC2 homolog,LOC100649847
XP_003397823.1,LOC100578860,LOC100578860,XP_003249973.1,100578860,PREDICTED: zinc finger protein 512B-like,GB42890,GB14498,XM_003397775.1,zinc finger protein 512B-like,LOC100650044
XP_003397827.1,LOC102655319,LOC102655319,XP_016769511.1,102655319,PREDICTED: inner centromere protein A,NA,GB16731,XM_003397779.2,cell wall protein RBR3,LOC100650606
XP_003397828.1,LOC100578699,LOC100578699,XP_003249946.1,100578699,PREDICTED: uncharacterized protein LOC100578699,GB42892,GB18228,XM_003397780.2,uncharacterized protein LOC100650730,LOC100650730
XP_003397837.1,LOC409186,LOC409186,XP_392710.3,409186,PREDICTED: vam6/Vps39-like protein isoform X1,GB53339,GB13254,XM_003397789.2,vam6/Vps39-like protein,LOC100651841
XP_003397839.1,LOC100576610,LOC100576610,XP_003251071.2,100576610,PREDICTED: mitochondrial ribonuclease P protein 3,NA,GB16626,XM_003397791.2,mitochondrial ribonuclease P protein 3,LOC100652080
XP_003397840.1,LOC552359,LOC552359,XP_625284.1,552359,PREDICTED: active regulator of SIRT1-like,GB53409,GB10369,XM_003397792.2,active regulator of SIRT1-like,LOC100652198
XP_003397842.1,LOC409073,LOC409073,XP_006567646.2,409073,PREDICTED: equilibrative nucleoside transporter 4,GB53336,GB10602,XM_003397794.2,equilibrative nucleoside transporter 4,LOC100642289
XP_003397845.1,LOC410012,LOC410012,XP_393499.2,410012,PREDICTED: WW domain-binding protein 2 isoform X2,GB53415,GB12308,XM_003397797.2,WW domain-binding protein 2 isoform X2,LOC100642645
XP_003397846.1,LOC552487,LOC552487,XP_624863.2,552487,PREDICTED: uncharacterized protein LOC552487,GB53335,GB10014,XM_003397798.2,uncharacterized protein LOC100642764,LOC100642764
XP_003397847.1,LOC552499,LOC552499,XP_624877.1,552499,PREDICTED: ubiquitin domain-containing protein UBFD1-like,GB53334,GB17016,XM_003397799.2,ubiquitin domain-containing protein UBFD1-like,LOC100642889
XP_003397849.1,LOC551264,LOC551264,XP_623658.1,551264,PREDICTED: upstream stimulatory factor 1-like isoform X1,GB53417,GB10984,XM_003397801.2,upstream stimulatory factor 2-like isoform X1,LOC100643125
XP_003397850.1,LOC551093,LOC551093,XP_623495.1,551093,PREDICTED: V-type proton ATPase catalytic subunit A,GB53333,GB10989,XM_003397802.2,V-type proton ATPase catalytic subunit A,LOC100643332
XP_003397851.1,LOC552514,LOC552514,XP_624893.1,552514,PREDICTED: HD domain-containing protein 2 isoform X1,GB53418,GB15154,XM_003397803.2,HD domain-containing protein 2,LOC100643454
XP_003397852.1,LOC552524,LOC552524,XP_624903.2,552524,PREDICTED: pyrazinamidase/nicotinamidase-like,GB53419,GB11208,XM_003397804.2,nicotinamidase-like,LOC100643578
XP_003397853.1,LOC726639,LOC726639,XP_006567480.1,726639,PREDICTED: oxidized low-density lipoprotein receptor 1,GB53332,NA,XM_003397805.1,C-type lectin domain family 12 member B,LOC100643736
XP_003397854.1,LOC552546,LOC552546,XP_006567482.1,552546,PREDICTED: protocadherin Fat 4 isoform X2,GB53331,GB18252,XM_003397806.2,protocadherin-like wing polarity protein stan,LOC100643852
XP_003397855.1,LOC552561,LOC552561,XP_624940.2,552561,PREDICTED: protein FAM188B2 isoform X1,GB53329,GB19299,XM_003397807.1,protein FAM188B2,LOC100643976
XP_003397856.1,LOC411491,LOC411491,XP_394964.4,411491,PREDICTED: DNA/RNA-binding protein KIN17,GB53328,GB16193,XM_003397808.2,DNA/RNA-binding protein KIN17,LOC100644094
XP_003397859.1,LOC102653654,LOC102653654,XP_016773228.1,102653654,PREDICTED: helix-loop-helix protein 1-like,NA,GB10015,XM_003397811.1,helix-loop-helix protein 1,LOC100644528
XP_003397861.2,LOC100576504,LOC100576504,XP_006567501.1,100576504,PREDICTED: uncharacterized protein LOC100576504 isoform X1,NA,NA,XM_003397813.2,uncharacterized protein LOC100644767,LOC100644767
XP_003397864.1,LOC411490,LOC411490,XP_006567489.1,411490,PREDICTED: probable beta-hexosaminidase fdl isoform X1,GB53323,GB10891,XM_003397816.2,probable beta-hexosaminidase fdl isoform X2,LOC100645012
XP_003397865.1,LOC677671,Obp3,XP_006567396.1,677671,PREDICTED: odorant binding protein 3 isoform X1,GB53371,GB30242,XM_003397817.2,uncharacterized protein LOC100645203,LOC100645203
XP_003397870.1,LOC726361,LOC726361,XP_001122104.1,726361,PREDICTED: ufm1-specific protease 1 isoform X1,GB53422,GB10055,XM_003397822.2,ufm1-specific protease 1,LOC100645760
XP_003397872.1,LOC726289,LOC726289,XP_003251036.1,726289,PREDICTED: transcription factor AP-1,NA,GB12004,XM_003397824.2,transcription factor AP-1,LOC100645950
XP_003397873.1,LOC726215,LOC726215,XP_006567514.1,726215,PREDICTED: uncharacterized protein LOC726215,GB53315,GB14290,XM_003397825.2,MATH and LRR domain-containing protein PFE0570w-like,LOC100646064
XP_003397876.1,LOC408989,LOC408989,XP_392521.2,408989,PREDICTED: putative glycerol kinase 5,GB53312,GB10568,XM_003397828.2,putative glycerol kinase 5,LOC100646422
XP_003397878.1,LOC411303,nAChRa9,NP_001091694.1,411303,nicotinic acetylcholine receptor alpha9 subunit precursor,GB53427,GB16984,XM_003397830.2,neuronal acetylcholine receptor subunit alpha-3-like isoform X1,LOC100646665
XP_003397879.1,LOC726079,nAChRb2,NP_001091699.1,726079,nicotinic acetylcholine receptor beta2 subunit,GB53428,GB12006,XM_003397831.2,acetylcholine receptor subunit beta-like,LOC100646787
XP_003397882.1,LOC408991,LOC408991,XP_392523.6,408991,"PREDICTED: glutaminase liver isoform, mitochondrial isoform X2",GB53310,GB16408,XM_003397834.2,"glutaminase liver isoform, mitochondrial isoform X2",LOC100647031
XP_003397886.1,LOC552340,LOC552340,XP_016769643.1,552340,"PREDICTED: glypican-4, partial",GB42671,GB18773,XM_003397838.2,glypican-4 isoform X1,LOC100647740
XP_003397887.1,LOC724663,LOC724663,XP_006561767.2,724663,"PREDICTED: tonsoku-like protein, partial",GB42668,GB11232,XM_003397839.2,LOW QUALITY PROTEIN: tonsoku-like protein,LOC100647859
XP_003397888.1,LOC411338,LOC411338,XP_394812.2,411338,PREDICTED: WD repeat-containing protein 35,GB42670,GB16728,XM_003397840.2,WD repeat-containing protein 35,LOC100647979
XP_003397890.1,LOC411447,LOC411447,XP_394921.3,411447,PREDICTED: serine palmitoyltransferase 2 isoform X1,GB42666,GB10698,XM_003397842.2,serine palmitoyltransferase 2,LOC100648215
XP_003397892.1,LOC552442,LOC552442,XP_624818.1,552442,PREDICTED: trafficking protein particle complex subunit 4,GB42667,GB13313,XM_003397844.2,trafficking protein particle complex subunit 4,LOC100648444
XP_003397893.1,LOC725227,LOC725227,XP_001121104.2,725227,PREDICTED: gem-associated protein 6-like,GB42830,NA,XM_003397845.2,gem-associated protein 6-like,LOC100648562
XP_003397894.2,LOC406103,Obp2,NP_001011591.1,406103,odorant binding protein 2 precursor,GB53369,GB20134,XM_003397846.2,uncharacterized protein LOC100648681,LOC100648681
XP_003397895.1,LOC411450,LOC411450,XP_394925.4,411450,PREDICTED: probable ATP-dependent RNA helicase DDX43,GB42664,GB12701,XM_003397847.2,probable ATP-dependent RNA helicase DDX43,LOC100648790
XP_003397909.1,LOC411298,LOC411298,XP_394772.2,411298,PREDICTED: UDP-glucuronosyltransferase 2C1,GB53351,GB15665,XM_003397861.2,UDP-glucuronosyltransferase,LOC100650445
XP_003397913.1,LOC100578798,LOC100578798,XP_016769641.1,100578798,PREDICTED: uncharacterized protein LOC100578798,GB53344,NA,XM_003397865.1,uncharacterized protein LOC100651288,LOC100651288
XP_003397918.2,LOC100576167,LOC100576167,XP_016769530.1,100576167,PREDICTED: gustatory and pheromone receptor 32a-like,GB53327,GB30247,XM_003397870.2,putative gustatory receptor 28b,LOC100651886
